steer_kp,steer_ki,steer_kd,throttle_kp,throttle_ki,throttle_kd,steer_mae,throttle_mae
0,0,0,0.2,0,0,3.11947e-06,0.376862
0,0,0,0.30000000000000004,0,0,0.00226194,1.42428
0,0,0,0.1,0,0,1.05872e-05,1.92099
0,0,0,0.2,0,0.1,2.18672e-06,0.437461
0,0,0,0.25,0,0,0.0027777,6.60878
0,0,0,0.15000000000000002,0,0,3.5265e-06,0.563377
0,0,0,0.2,0,0.05,1.76811e-06,0.357053
0,0,0,0.225,0,0.05,0.0159052,1.5211
0,0,0,0.17500000000000002,0,0.05,3.08028e-06,0.451292
0,0,0,0.2,0,0.125,0.00163937,4.26385
0,0,0,0.21250000000000002,0,0.05,0.0148278,1.50418
0,0,0,0.1875,0,0.05,2.67098e-06,0.354506
0,0,0,0.1875,0,0.08750000000000001,0.00887597,0.343712
0,0,0,0.20625,0,0.08750000000000001,3.44989e-06,0.415085
0,0,0,0.16875,0,0.08750000000000001,0.000250345,1.25187
0,0,0,0.1875,0,0.14375000000000002,0.00534489,4.74417
0,0,0,0.1875,0,0.03125,3.28818e-06,0.419552
0,0,0,0.1875,0,0.115625,4.71458,0.330686
0,0,0,0.1875,0,0.059375000000000004,3.49037e-06,0.420438
0,0,0,0.1875,0,0.10156250000000001,3.72436e-06,0.491296
0,0,0,0.1875,0,0.0734375,0.00192225,4.1708
0,0,0,0.1875,0,0.08750000000000001,2.61805e-05,0.351649
0,0,0,0.1875,0.1,0.08750000000000001,0.000327213,2.49541
0,0,0,0.1875,0.05,0.08750000000000001,0.00169888,2.83349
0,0,0,0.1875,0.025,0.08750000000000001,5.31637e-06,0.480182
0,0,0,0.1875,0.0125,0.08750000000000001,8.10224e-06,1.83178
0,0,0,0.1875,0.0,0.0875,4.07703e-05,1.50236
